match_id,season,date,round,referee,stadium,attendance,home_team,away_team,home_score,away_score,home_formation,away_formation,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_blocked,away_shots_blocked,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_xg,away_xg,home_offsides,away_offsides,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_tackles,away_tackles,home_tackles_won,away_tackles_won,home_saves,away_saves,home_clearances,away_clearances,home_big_chances_missed,away_big_chances_missed,home_aerials_won,away_aerials_won,status
l1_championship_match_73160,2025,2025-09-20,5,Mathieu VERNICE,STADE DE LA BEAUJOIRE-LOUIS FONTENEAU,31337,FC Nantes,Rennes,2,2,4141,352,45,55,16,8,4,4,6,4,6,,4,4,14,18,2,2,,,2.113,1.539,1,3,361,495,290,429,13,10,9,5,2,2,14,22,3,,9,10,full_time
l1_championship_match_73153,2025,2025-09-21,5,Marc BOLLENGIER,STADE DE L'ABBÉ-DESCHAMPS,15262,AJ Auxerre,Toulouse FC,1,0,541,343,44,56,6,13,1,3,3,6,2,4,3,4,12,20,1,6,1,,0.747,2.332,,,300,450,231,392,26,25,13,15,3,,31,27,,3,19,17,full_time
l1_championship_match_73155,2025,2025-09-21,5,Abdelatif KHERRADJI,STADE OCÉANE,17483,Havre AC,FC Lorient,1,1,4231,3421,56,44,13,8,2,4,9,4,2,,6,2,20,15,3,6,,,2.468,1.206,,,555,378,472,302,15,16,5,9,3,,19,37,2,,24,21,full_time
l1_championship_match_73159,2025,2025-09-21,5,Stéphanie FRAPPART,STADE LOUIS-II,6080,AS Monaco,FC Metz,5,2,442,3421,45,55,16,8,6,3,7,2,3,3,4,5,15,6,1,,,,3.513,2.155,3,,410,551,342,464,24,23,14,11,1,2,12,18,2,1,12,8,full_time
l1_championship_match_73161,2025,2025-09-21,5,François LETEXIER,STADE JEAN BOUIN,17912,Paris FC,Strasbourg,2,3,4141,442,58,42,18,8,6,4,10,2,2,2,4,2,11,10,1,5,,,1.659,2.461,2,1,634,414,576,344,19,14,13,8,,4,17,34,2,3,6,10,full_time
l1_championship_match_73158,2025,2025-09-22,5,Jérôme BRISARD,ORANGE VÉLODROME,66190,OM,PSG,1,0,3421,352,36,64,9,12,1,5,5,6,3,1,5,3,16,7,3,1,,,1.393,0.673,2,1,308,669,245,611,19,17,11,15,5,1,19,16,2,2,8,6,full_time
l1_championship_match_73169,2025,2025-09-26,6,Jérémie PIGNARD,STADE DE LA MEINAU,23262,Strasbourg,OM,1,2,4231,4231,42,58,9,16,1,9,6,5,2,2,5,4,13,15,2,4,,,1.358,2.133,2,1,393,588,323,518,13,14,7,8,7,,30,18,2,3,6,10,full_time
l1_championship_match_73164,2025,2025-09-27,6,Ruddy BUQUET,STADE YVES-ALLAINMAT,15561,FC Lorient,AS Monaco,3,1,3421,352,49,51,19,5,8,2,5,3,6,,2,4,10,11,2,2,,1,1.979,0.925,,1,511,570,449,516,16,15,8,13,1,5,28,17,,,5,7,full_time
l1_championship_match_73167,2025,2025-09-27,6,Thomas LEONARD,PARC DES PRINCES,47792,PSG,AJ Auxerre,2,0,433,541,62,38,15,12,8,3,4,4,3,5,5,5,17,10,1,2,,,1.768,0.711,1,4,672,333,607,256,21,25,10,15,2,6,23,8,3,1,11,11,full_time
l1_championship_match_73170,2025,2025-09-27,6,Benoît MILLOT,STADIUM,22822,Toulouse FC,FC Nantes,2,2,3421,433,46,54,20,12,7,2,8,4,5,6,1,4,18,12,2,3,,,2.154,1.456,2,1,404,498,335,427,15,17,5,12,,5,21,23,,2,18,9,full_time
