league,tip_id,recorded_at,match_id,home_team,away_team,match_date,market,bet_type,line,direction,model_prob,model_odds,bm_odds,edge,stake,status,actual_value,profit
premier_league,c404bc8b44a9,2026-05-15 13:22,0,Bournemouth,Man City,,shots_on_target,1x2,0.0,1,0.5,2.0,3.52,0.76,1.0,lost,2:5,-1.0
premier_league,da729b306808,2026-05-15 13:24,0,Bournemouth,Man City,,yellow_cards,1x2,0.0,X,0.3333,3.0,3.66,0.2199,1.0,lost,4:2,-1.0
primeira_liga,d6a628a7cc5b,2026-05-16 10:55,0,Moreirense,AVS,,yellow_cards,1x2,0.0,1,0.4356,2.3,2.91,0.2676,1.0,lost,2:3,-1.0
primeira_liga,fbf77811094e,2026-05-16 11:19,0,Estoril,Benfica,,shots_on_target,total,9.5,U,0.6088,1.64,2.03,0.2359,1.0,lost,14,-1.0
primeira_liga,90dac5b35006,2026-05-16 11:25,0,Casa Pia,Rio Ave,,shots_on_target,1x2,0.0,2,0.4688,2.13,3.32,0.5564,1.0,lost,5:3,-1.0
primeira_liga,844f466972f6,2026-05-16 11:35,0,Sp Lisbon,Gil Vicente,,corners,1x2,0.0,2,0.4345,2.3,5.4,1.3463,1.0,lost,6:1,-1.0
proleague,da729b306808,2026-05-14 22:06,0,OH Leuven,Royal Antwerp FC,,yellow_cards,1x2,0.0,X,0.4074,2.45,3.75,0.5277,1.0,won,1:1,2.75
proleague,8ef9058b8212,2026-05-16 18:31,0,Club Brugge,Royale Union St-Gilloise,,fouls,1x2,0.0,2,0.7721,1.3,1.48,0.1427,1.0,lost,13:7,-1.0
proleague,7066c63e3fb6,2026-05-18 20:49,0,KRC Genk,Royal Antwerp FC,,yellow_cards,total,3.5,U,0.5754,1.74,2.11,0.2141,1.0,won,0:2,0.74
proleague,844f466972f6,2026-05-24 13:19,0,STVV,KV Mechelen,,corners,1x2,0.0,2,0.3412,2.93,3.58,0.2215,1.0,lost,2:2,-1.0
proleague,894ee03595b6,2026-05-24 13:33,0,Royale Union St-Gilloise,Royal Sporting Club Anderlecht,,corners,1x2,0.0,2,0.3333,3.0,4.43,0.4765,1.0,lost,4:1,-1.0
proleague,69c8999327ee,2026-05-24 13:34,0,STVV,KV Mechelen,,yellow_cards,1x2,0.0,X,0.3294,3.04,3.66,0.2056,1.0,won,2:2,2.66
serie_a,56ba8b57fd1f,2026-05-24 14:01,0,Cremonese,Como,,shots_on_target,1x2,0.0,1,0.3611,2.77,3.89,0.4047,1.0,lost,1:6,-1.0
serie_a,5e2b841812fa,2026-05-24 14:02,0,Cremonese,Como,,corners,1x2,0.0,1,0.3333,3.0,3.7,0.2332,1.0,lost,2:4,-1.0
serie_a,e805344627c4,2026-05-24 14:04,0,Lecce,Genoa,,shots_on_target,1x2,0.0,2,0.5118,1.95,2.9,0.4842,1.0,lost,4:1,-1.0
serie_a,1986ebc51b6d,2026-05-24 14:06,0,Torino,Juventus,,corners,1x2,0.0,1,0.4363,2.29,3.66,0.5969,1.0,lost,6:6,-1.0
serie_a,09cabf8de131,2026-05-24 14:11,0,Verona,Roma,,corners,1x2,0.0,1,0.4167,2.4,4.15,0.7293,1.0,lost,6:6,-1.0
