match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_blocked,away_shots_blocked,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_tackles,away_tackles,home_tackles_won,away_tackles_won,home_saves,away_saves,home_offsides,away_offsides,home_clearances,away_clearances,home_goals_conceded,away_goals_conceded,home_fouls_won,away_fouls_won,home_assists,away_assists,home_substitutions,away_substitutions,home_formation,away_formation,attendance,status
5ryrhsfqp8wz9scs1dgx417v8,2025/26,2025-09-21,6,Jeroen Manschot,PEC Zwolle,Go Ahead Eagles,0,2,8,20,1,9,6,8,1,3,3,7,5,8,1,2,,,28,71,245,626,162,555,10,9,7,8,7,1,1,,41,23,2,,8,4,,1,4,5,433,4231,14000,full_time
5sczh4lmg4j5af84v0cllslqs,2025/26,2025-09-21,6,Serdar Gözübüyük,PSV,Ajax,2,2,16,14,8,6,7,4,1,4,9,5,17,13,2,5,,,61,38,497,314,432,251,27,19,18,8,4,5,1,1,15,22,2,2,12,16,2,1,3,5,433,433,35700,full_time
5sr33srrxqg62vph8ea7j8qac,2025/26,2025-09-21,6,Jannick van der Laan,sc Heerenveen,N.E.C. Nijmegen,3,2,14,11,8,6,3,4,3,1,6,6,10,14,2,1,,,39,60,304,470,206,383,11,18,7,10,4,5,2,2,23,23,2,3,14,10,1,2,4,5,4231,3142,22411,full_time
5t57zmlqcosnvqccjpolef4es,2025/26,2025-09-21,6,Danny Desmond Makkelie,AZ,Feyenoord,3,3,9,19,5,3,4,5,,11,4,11,9,10,4,3,,,53,46,463,397,386,329,14,18,9,13,,2,1,,27,26,3,3,10,8,2,2,5,5,433,4231,18351,full_time
5tj9c052m3qrojh2c6o5c8glw,2025/26,2025-09-26,7,Danny Desmond Makkelie,FC Twente,Fortuna Sittard,3,2,18,8,10,4,4,2,4,2,4,5,14,13,1,2,,,55,44,491,396,381,292,16,17,9,10,3,8,,1,20,23,2,3,13,13,2,2,4,5,4231,4231,29500,full_time
5ubdlbm1ykvx9tv8vpamsmqz8,2025/26,2025-09-27,7,Marc Nagtegaal,Ajax,NAC Breda,2,1,12,17,7,7,3,5,2,5,3,7,11,14,2,2,,,50,49,452,434,372,345,20,18,15,12,6,4,2,3,41,14,1,2,14,10,1,,5,5,4231,4231,55865,full_time
5upgupu3n4173s6y6dk73urkk,2025/26,2025-09-27,7,Robin Hensgens,FC Volendam,PEC Zwolle,2,1,15,14,3,2,9,6,3,6,3,5,11,12,2,3,,,36,63,278,499,205,423,18,9,10,6,1,1,2,2,24,19,1,2,11,11,2,1,5,5,4231,4231,6667,full_time
5v3dv1cvw9e5ywkw7mat8z66s,2025/26,2025-09-27,7,Dennis Johan Higler,Excelsior Rotterdam,PSV,1,2,18,18,5,8,7,7,6,3,3,2,8,5,,,,,36,63,335,616,253,533,19,13,8,9,6,3,,1,25,34,2,1,5,8,,1,5,4,4231,433,4400,full_time
5wbid9xst2np4meahegdokv10,2025/26,2025-09-27,7,Serdar Gözübüyük,Heracles Almelo,Sparta Rotterdam,3,0,12,18,5,5,4,7,3,6,5,4,12,11,2,4,,,47,52,417,459,329,378,9,9,6,3,4,2,3,1,31,32,,3,11,12,3,,5,4,442,433,11842,full_time
5txbt9abivqkxop61m67kdtec,2025/26,2025-09-28,7,Bas Nijhuis,FC Groningen,Feyenoord,0,1,12,11,5,5,3,5,4,1,3,4,16,6,,2,,,47,52,397,446,325,361,16,21,7,11,4,5,3,2,22,35,1,,5,16,,1,5,5,442,4231,22525,full_time
5vj31s3l8jujm3kerd110glqs,2025/26,2025-09-28,7,Sander van der Eijk,N.E.C. Nijmegen,AZ,2,1,14,7,4,2,5,3,5,2,5,4,14,16,1,4,,,44,55,327,423,239,320,24,16,19,8,1,2,3,,29,30,1,2,15,10,2,,3,5,3142,4231,12650,full_time
5vx9mugpikmj401srcbkjei38,2025/26,2025-09-28,7,Alex Bos,FC Utrecht,sc Heerenveen,2,2,14,10,5,4,9,2,,4,5,3,14,12,2,2,,,51,48,448,423,374,341,15,16,9,10,2,2,1,,35,26,2,2,12,14,,2,5,4,4231,4231,23001,full_time
5wpgm30egyb1jdw157b879kb8,2025/26,2025-09-28,7,Ingmar Oostrom,Telstar,Go Ahead Eagles,4,2,20,14,9,5,5,5,6,4,8,3,13,9,2,,,,38,61,296,466,215,396,14,8,9,5,2,5,,4,31,22,2,4,8,13,2,2,5,5,3421,4231,5250,full_time
5x3l2j5e3lt5pgkvubyhauiac,2025/26,2025-10-03,8,Jannick van der Laan,NAC Breda,FC Groningen,1,2,11,14,4,9,3,2,4,3,7,6,16,14,3,1,,,60,39,523,339,422,265,15,19,9,9,7,3,3,3,23,26,2,1,14,15,1,1,5,4,4231,4231,20369,full_time
5xhmz6u4q8au0ufwanh8zdst0,2025/26,2025-10-04,8,Bas Nijhuis,Sparta Rotterdam,Ajax,3,3,14,17,5,4,5,7,4,6,6,4,8,9,1,3,,,32,67,271,576,206,510,24,14,17,12,1,2,1,1,45,19,3,3,7,8,,2,4,5,4231,433,10599,full_time
5xvs4fab0ln7xcg8uc2y35las,2025/26,2025-10-04,8,Ingmar Oostrom,Fortuna Sittard,FC Volendam,1,0,16,8,3,1,8,5,5,2,7,4,14,13,1,2,,,52,47,408,373,324,299,23,25,12,13,1,2,1,1,19,36,,1,13,14,1,,5,5,433,4231,10986,full_time
5y9wwf2gnnu3z3jnaben91250,2025/26,2025-10-04,8,Alex Bos,PEC Zwolle,PSV,0,4,4,18,,8,3,8,1,2,4,8,7,8,,3,,,27,72,273,741,211,672,14,16,6,13,4,,2,3,27,17,4,,7,6,,4,5,5,451,4231,14000,full_time
5yo1mnwmx64we59lwxjq0t1qs,2025/26,2025-10-04,8,Richard Wilhelmus Martens,sc Heerenveen,Excelsior Rotterdam,2,1,19,9,4,2,10,2,5,5,7,3,6,17,2,3,,,66,33,593,305,505,208,12,7,5,4,1,2,2,,17,45,1,2,17,5,1,,4,3,4231,4231,22298,full_time
5z20o8vxpngjqpnzic4kielg4,2025/26,2025-10-05,8,Allard Lindhout,FC Twente,Heracles Almelo,2,1,21,7,9,2,9,2,3,3,4,3,5,8,,2,,,58,41,505,347,418,269,18,23,11,13,1,7,,1,22,43,1,2,8,5,2,1,6,5,4231,4231,30000,full_time
5zfwulm2yzxqo6k2142mjnbpw,2025/26,2025-10-05,8,Jannick van der Laan,AZ,Telstar,2,1,28,14,10,5,8,5,10,4,6,4,7,13,3,2,,,59,40,462,316,387,238,13,23,8,10,4,7,,2,19,35,1,2,13,7,,1,5,5,4231,3421,18849,full_time
5ztvb676m1jmv5rx0y4axtb10,2025/26,2025-10-05,8,Jeroen Manschot,Feyenoord,FC Utrecht,3,2,22,10,10,4,6,4,6,2,12,3,7,10,1,,,,55,45,453,382,391,301,16,19,8,8,2,6,,1,20,24,2,3,10,7,2,2,3,5,433,4231,47500,full_time
60821f1r85d4kafoou8ykg178,2025/26,2025-10-05,8,Martijn Vos,Go Ahead Eagles,N.E.C. Nijmegen,1,1,8,17,3,7,3,5,2,5,11,4,13,18,1,3,,,53,46,372,347,296,274,11,18,8,16,7,1,,,32,42,1,1,18,12,1,,5,4,433,3412,10037,full_time
613vr7cufoxy1hgtvtk021fdg,2025/26,2025-10-18,9,Martin van den Kerkhof,FC Utrecht,FC Volendam,3,1,22,3,6,3,9,,7,,10,,12,13,1,1,,,58,41,482,357,422,295,12,27,7,18,3,4,,1,13,32,1,3,13,12,2,1,5,5,4231,4231,22303,full_time
61mozu55t71mv3rdn06g2kx04,2025/26,2025-10-18,9,Sander van der Eijk,PSV,Go Ahead Eagles,2,1,24,4,8,2,8,1,8,1,6,1,7,8,1,1,,,57,42,555,414,483,337,11,4,6,2,1,6,,2,23,26,1,2,7,7,1,,3,5,4231,433,35100,full_time
622a6vj4scm1tfvq7y6k33384,2025/26,2025-10-18,9,Jeroen Manschot,Ajax,AZ,0,2,17,13,6,3,7,4,4,6,5,4,13,19,4,2,,,61,38,549,349,480,281,23,14,12,8,1,6,3,1,10,21,2,,18,13,,,5,4,4231,433,54274,full_time
62iqciitcytczniofrlb6w5jo,2025/26,2025-10-18,9,Danny Desmond Makkelie,NAC Breda,PEC Zwolle,2,2,19,11,6,3,7,5,6,3,3,2,11,14,1,3,,,46,53,443,512,362,432,18,20,13,13,1,4,1,,25,29,2,2,14,11,1,2,5,5,4231,433,20075,full_time
6436wx3eeqvph521ys68rd1xw,2025/26,2025-10-18,9,Marc Nagtegaal,N.E.C. Nijmegen,FC Twente,3,3,8,10,4,3,1,5,3,2,3,3,15,21,2,3,,,60,39,409,272,339,197,14,18,8,9,,1,3,1,26,38,3,3,21,12,2,1,4,5,3142,4231,12650,full_time
60ps4ehpcxrbv93ly26vze32s,2025/26,2025-10-19,9,Rob Dieperink,Heracles Almelo,Feyenoord,0,7,4,19,,12,3,3,1,4,2,8,11,13,1,2,,,36,63,307,535,238,464,15,14,10,11,5,,,2,41,17,7,,13,11,,3,3,5,4231,433,11887,full_time
62ws5p6bcbxo44slwp077gcgk,2025/26,2025-10-19,9,Robin Hensgens,FC Groningen,Sparta Rotterdam,0,2,12,8,,2,7,5,5,1,7,4,11,10,3,2,,,60,39,495,327,404,250,21,14,13,11,,,2,1,11,49,2,,10,11,,1,5,5,4231,4231,22222,full_time
63ayu6fv001xmogl9pr7ltp90,2025/26,2025-10-19,9,Alex Bos,Excelsior Rotterdam,Fortuna Sittard,1,0,11,14,5,6,4,2,2,6,4,2,10,18,,3,,,50,49,409,407,311,308,17,18,10,7,5,4,1,5,34,25,,1,17,10,1,,4,5,4231,4231,4400,full_time
63p6aq0ckxhfzw7c44fagk6j8,2025/26,2025-10-19,9,Dennis Johan Higler,Telstar,sc Heerenveen,2,3,18,15,6,7,9,6,3,2,6,11,9,12,1,2,,,45,54,330,391,246,316,19,11,14,7,3,4,1,,35,43,3,2,12,6,1,2,5,3,3421,4231,5293,full_time
64krnrj1zihhyly0ofyo1faxg,2025/26,2025-10-24,10,Martin van den Kerkhof,sc Heerenveen,NAC Breda,3,3,10,11,4,4,3,4,3,3,4,5,10,10,1,,,,53,46,441,366,361,272,12,18,7,8,1,2,2,2,41,28,3,3,10,10,2,3,5,5,4231,442,23200,full_time
64yrqxp53w6gm0lm8aypt2ntg,2025/26,2025-10-25,10,Rob Dieperink,Fortuna Sittard,FC Groningen,1,2,9,16,3,10,5,3,1,3,7,7,14,9,3,1,,,57,42,408,317,304,225,19,12,18,7,8,2,1,2,24,27,2,1,9,14,1,2,5,3,433,4231,11553,full_time
65cudyvnju4dbmkfyzvccf8r8,2025/26,2025-10-25,10,Danny Desmond Makkelie,FC Volendam,Heracles Almelo,3,0,13,11,7,2,3,5,3,4,5,5,6,13,,1,,,56,43,466,357,404,274,15,16,6,11,1,4,1,2,26,19,,3,10,6,3,,5,1,4231,532,6823,full_time
65qt8styfilod1mgy6dopvevo,2025/26,2025-10-25,10,Joey Kooij,Sparta Rotterdam,Telstar,1,0,14,14,6,3,6,7,2,4,6,7,9,14,3,2,,,47,52,394,434,313,350,15,13,10,7,3,5,,1,45,21,,1,14,9,1,,3,6,4231,3421,10110,full_time
