match_id,date,round,referee,home_team,away_team,home_score,away_score,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,attendance
8108,21/09/2025 18:30,"9. kolo, Základní část | neděle 21/09/2025, 18:30 | LOKOTRANS ARÉNA |",S. Volek,FK Mladá Boleslav,FC Baník Ostrava,1,1,2.21,0.84,22,12,5,5,9,12,15,11,2,4,,,57,43,
8109,21/09/2025 13:00,"9. kolo, Základní část | neděle 21/09/2025, 13:00 | Na Julisce |",J. Wulkan,FK Dukla Praha,Bohemians Praha 1905,0,2,0.49,0.87,10,11,3,6,7,5,12,10,2,2,1,0,59,41,
8110,21/09/2025 15:30,"9. kolo, Základní část | neděle 21/09/2025, 15:30 | Stadión U Nisy |",J. Všetečka,FC Slovan Liberec,SK Slavia Praha,1,1,0.39,1.05,7,18,4,3,4,11,19,14,3,3,,,30,70,
8111,20/09/2025 15:00,"9. kolo, Základní část | sobota 20/09/2025, 15:00 | Andrův stadión |",D. Černý,SK Sigma Olomouc,FK Teplice,0,0,0.58,1.01,13,10,5,4,3,8,20,23,4,4,,,64,36,
8112,20/09/2025 15:00,"9. kolo, Základní část | sobota 20/09/2025, 15:00 | Městský stadion Karviná |",D. Starý,MFK Karviná,FK Jablonec,1,2,1.5,0.95,14,10,4,3,7,5,17,15,0,1,,,65,35,
8113,20/09/2025 15:00,"9. kolo, Základní část | sobota 20/09/2025, 15:00 | Stadion Arnošta Košťála |",J. Beneš,FK Pardubice,1.FC Slovácko,1,1,1.81,0.69,15,11,3,5,11,2,13,12,2,3,,,67,33,
8114,26/09/2025 19:00,"10. kolo, Základní část | pátek 26/09/2025, 19:00 | Fortuna Arena |",D. Černý,SK Slavia Praha,FK Dukla Praha,2,0,3.06,0.18,20,5,7,2,9,0,12,17,1,2,,,63,37,
8115,27/09/2025 15:00,"10. kolo, Základní část | sobota 27/09/2025, 15:00 | Ďolíček |",M. Radina,Bohemians Praha 1905,SK Sigma Olomouc,2,2,0.93,1,8,14,2,5,1,3,10,9,1,1,,,54,46,
8116,27/09/2025 18:00,"10. kolo, Základní část | sobota 27/09/2025, 18:00 | Malšovická aréna |",D. Starý,FC Hradec Králové,FC Slovan Liberec,2,3,0.45,2.22,9,19,4,9,3,6,16,13,3,3,,,46,54,
8117,27/09/2025 15:00,"10. kolo, Základní část | sobota 27/09/2025, 15:00 | Městský stadion Ostrava |",L. Nehasil,FC Baník Ostrava,AC Sparta Praha,0,3,1.45,1.71,9,15,1,7,2,8,11,13,2,2,,,42,58,
