match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,status
D1_20260412_FCKOLN_WERDERBR,2025/26,2026-04-12,,Tobias Reichel,FC Koln,Werder Bremen,3,1,25,6,8,2,8,5,16,7,3,2,0,1,full_time
D1_20260412_STUTTGAR_HAMBURG,2025/26,2026-04-12,,Sven Jablonski,Stuttgart,Hamburg,4,0,23,9,11,5,8,2,10,14,2,1,0,0,full_time
D1_20260412_MAINZ_FREIBURG,2025/26,2026-04-12,,Felix Zwayer,Mainz,Freiburg,0,1,10,8,3,3,6,4,10,13,1,3,0,0,full_time
D1_20260417_STPAULI_FCKOLN,2025/26,2026-04-17,,Matthias Jöllenbeck,St Pauli,FC Koln,1,1,14,10,6,1,8,5,6,2,4,1,0,0,full_time
D1_20260418_HOFFENHE_DORTMUND,2025/26,2026-04-18,,Daniel Siebert,Hoffenheim,Dortmund,2,1,13,8,4,3,4,3,14,11,2,3,0,0,full_time
D1_20260418_LEVERKUS_AUGSBURG,2025/26,2026-04-18,,Benjamin Brand,Leverkusen,Augsburg,1,2,35,11,10,5,11,4,5,8,2,1,0,0,full_time
D1_20260418_UNIONBER_WOLFSBUR,2025/26,2026-04-18,,Florian Badstübner,Union Berlin,Wolfsburg,1,2,25,5,7,4,11,4,13,15,1,1,0,0,full_time
D1_20260418_WERDERBR_HAMBURG,2025/26,2026-04-18,,Florian Exner,Werder Bremen,Hamburg,3,1,18,11,10,3,7,3,14,14,4,3,0,1,full_time
D1_20260418_EINFRANK_RBLEIPZI,2025/26,2026-04-18,,Bastian Dankert,Ein Frankfurt,RB Leipzig,1,3,16,19,5,8,4,6,7,7,0,1,0,0,full_time
D1_20260419_FREIBURG_HEIDENHE,2025/26,2026-04-19,,Patrick Ittrich,Freiburg,Heidenheim,2,1,17,13,4,2,5,4,10,9,1,0,0,0,full_time
D1_20260419_BAYERNMU_STUTTGAR,2025/26,2026-04-19,,Sören Storks,Bayern Munich,Stuttgart,4,2,28,11,9,7,11,3,6,3,0,0,0,0,full_time
D1_20260419_M'GLADBA_MAINZ,2025/26,2026-04-19,,Tobias Welz,M'gladbach,Mainz,1,1,9,17,4,7,0,6,12,8,5,2,0,0,full_time
D1_20260424_RBLEIPZI_UNIONBER,2025/26,2026-04-24,,Sven Jablonski,RB Leipzig,Union Berlin,3,1,20,5,10,1,10,4,6,10,1,1,0,0,full_time
D1_20260425_AUGSBURG_EINFRANK,2025/26,2026-04-25,,Harm Osmers,Augsburg,Ein Frankfurt,1,1,17,19,3,7,9,7,11,13,1,2,0,0,full_time
